customer_id,transaction_date,amount
CUST_00001,2022-02-18,523.33
CUST_00001,2022-05-02,805.13
CUST_00001,2022-06-16,948.38
CUST_00001,2022-08-17,571.76
CUST_00001,2022-10-03,857.75
CUST_00001,2022-11-09,1277.14
CUST_00001,2023-01-02,939.45
CUST_00001,2023-03-04,988.4
CUST_00001,2023-03-17,542.63
CUST_00001,2023-05-02,1015.96
CUST_00001,2023-07-02,650.88
CUST_00001,2023-07-25,977.37
CUST_00001,2023-09-30,969.66
CUST_00001,2023-11-11,1078.99
CUST_00002,2023-02-27,688.58
CUST_00002,2023-03-15,676.31
CUST_00002,2023-04-25,1210.15
CUST_00002,2023-05-29,1031.65
CUST_00002,2023-06-27,769.66
CUST_00002,2023-08-02,1070.55
CUST_00002,2023-08-20,1068.73
CUST_00002,2023-09-19,1013.23
CUST_00002,2023-10-18,1052.17
CUST_00002,2023-11-05,936.97
CUST_00002,2023-12-10,1239.74
CUST_00002,2024-01-10,669.8
CUST_00002,2024-02-05,1286.78
CUST_00002,2024-03-08,844.17
CUST_00002,2024-04-16,1021.12
CUST_00002,2024-05-27,1224.39
CUST_00002,2024-06-11,1214.09
CUST_00003,2022-12-24,1352.91
CUST_00003,2023-02-03,1480.09
CUST_00003,2023-03-16,607.98
CUST_00003,2023-05-01,878.84
CUST_00003,2023-06-13,1537.92
CUST_00003,2023-08-04,672.53
CUST_00003,2023-08-13,985.91
CUST_00003,2023-10-22,1382.11
CUST_00003,2023-11-27,1465.67
CUST_00003,2023-12-28,1802.21
CUST_00003,2024-01-25,1304.62
CUST_00003,2024-02-24,1326.94
CUST_00003,2024-05-03,1255.81
CUST_00004,2022-08-28,790.17
CUST_00004,2022-10-22,1115.24
CUST_00004,2022-12-09,610.32
CUST_00005,2022-08-25,1569.95
CUST_00005,2022-10-05,1083.75
CUST_00005,2022-11-22,1332.99
CUST_00005,2022-12-22,706.2
CUST_00005,2023-01-28,1751.49
CUST_00005,2023-04-12,917.97
CUST_00005,2023-06-09,1427.51
CUST_00005,2023-08-12,1200.14
CUST_00005,2023-09-02,1393.43
CUST_00005,2023-10-23,1270.53
CUST_00005,2023-12-06,1435.98
CUST_00005,2023-12-29,1370.69
CUST_00005,2024-01-23,893.33
CUST_00005,2024-03-06,560.2
CUST_00005,2024-05-07,1064.61
CUST_00006,2023-04-14,1665.05
CUST_00006,2023-06-08,329.61
CUST_00006,2023-07-27,2161.52
CUST_00006,2023-08-09,1302.53
CUST_00006,2023-09-27,1676.22
CUST_00006,2023-11-02,1482.95
CUST_00006,2023-12-06,1663.0
CUST_00006,2024-01-31,1241.12
CUST_00006,2024-03-08,1034.71
CUST_00007,2022-02-16,932.23
CUST_00008,2023-01-16,888.22
CUST_00008,2023-03-20,909.1
CUST_00009,2022-04-21,1486.35
CUST_00009,2022-06-16,1290.86
CUST_00009,2022-08-20,1327.51
CUST_00009,2022-09-26,1408.91
CUST_00010,2022-02-21,1224.02
CUST_00010,2022-04-13,1124.95
CUST_00010,2022-06-05,1079.82
CUST_00010,2022-07-19,1065.83
CUST_00011,2022-10-15,1640.2
CUST_00011,2022-11-03,1430.91
CUST_00012,2023-06-17,1142.02
CUST_00013,2023-02-06,1423.56
CUST_00013,2023-03-12,1256.92
CUST_00013,2023-04-08,1140.62
CUST_00013,2023-05-29,1197.39
CUST_00013,2023-07-31,1038.22
CUST_00014,2023-02-20,702.13
CUST_00014,2023-04-02,1180.15
CUST_00014,2023-05-13,1621.93
CUST_00014,2023-05-28,837.36
CUST_00014,2023-06-20,1123.42
CUST_00014,2023-08-12,1226.08
CUST_00014,2023-09-11,691.87
CUST_00014,2023-09-23,911.25
CUST_00014,2023-10-26,1052.26
CUST_00014,2023-11-29,1350.92
CUST_00014,2023-12-24,788.12
CUST_00014,2024-02-01,1185.9
CUST_00014,2024-02-09,1205.0
CUST_00014,2024-03-23,910.97
CUST_00014,2024-04-28,1689.42
CUST_00014,2024-06-03,1189.71
CUST_00014,2024-06-24,472.27
CUST_00015,2023-01-27,1198.2
CUST_00015,2023-02-12,1045.18
CUST_00015,2023-03-20,958.84
CUST_00015,2023-05-10,1082.48
CUST_00015,2023-06-02,780.62
CUST_00015,2023-07-09,974.2
CUST_00015,2023-08-13,1365.58
CUST_00015,2023-10-23,958.88
CUST_00015,2023-11-14,1047.26
CUST_00015,2023-12-22,623.67
CUST_00015,2024-01-09,1004.68
CUST_00015,2024-03-11,830.5
CUST_00015,2024-04-06,882.53
CUST_00015,2024-05-20,977.99
CUST_00015,2024-06-28,847.5
