customer_id,transaction_date,amount
CUST_00001,2022-02-18,523.33
CUST_00001,2022-05-02,805.13
CUST_00002,2023-02-27,688.58
CUST_00002,2023-03-15,676.31
CUST_00002,2023-04-25,1210.15
CUST_00003,2022-12-24,1352.91
CUST_00003,2023-02-03,1480.09
CUST_00003,2023-03-16,607.98
CUST_00004,2022-08-28,790.17
CUST_00004,2022-10-22,1115.24
CUST_00005,2022-08-25,1569.95
CUST_00005,2022-10-05,1083.75
CUST_00005,2022-11-22,1332.99
CUST_00006,2023-04-14,1665.05
CUST_00006,2023-06-08,329.61
CUST_00007,2022-02-16,932.23
CUST_00008,2023-01-16,888.22
CUST_00008,2023-03-20,909.1
CUST_00009,2022-04-21,1486.35
CUST_00009,2022-06-16,1290.86
CUST_00010,2022-02-21,1224.02
CUST_00010,2022-04-13,1124.95
CUST_00011,2022-10-15,1640.2
CUST_00011,2022-11-03,1430.91
CUST_00012,2023-06-17,1142.02
CUST_00013,2023-02-06,1423.56
CUST_00013,2023-03-12,1256.92
CUST_00013,2023-04-08,1140.62
CUST_00014,2023-02-20,702.13
CUST_00014,2023-04-02,1180.15
CUST_00014,2023-05-13,1621.93
CUST_00015,2023-01-27,1198.2
CUST_00015,2023-02-12,1045.18
CUST_00015,2023-03-20,958.84
CUST_00016,2023-03-06,1008.32
CUST_00016,2023-04-19,690.31
CUST_00016,2023-05-16,1270.74
CUST_00017,2022-10-08,1438.39
CUST_00017,2022-10-25,1330.99
CUST_00017,2022-12-08,1235.89
CUST_00018,2022-03-11,1481.34
CUST_00018,2022-04-27,1067.4
CUST_00018,2022-06-02,1141.07
CUST_00019,2023-04-04,1913.24
CUST_00019,2023-05-01,1438.35
CUST_00019,2023-05-20,1103.46
CUST_00019,2023-06-01,1611.4
CUST_00019,2023-06-21,1662.54
CUST_00020,2022-09-03,982.78
CUST_00020,2022-09-20,975.05
CUST_00020,2022-11-06,1183.05
CUST_00021,2022-10-01,1294.73
CUST_00021,2022-11-01,889.86
CUST_00021,2022-12-29,905.38
CUST_00022,2022-07-22,975.14
CUST_00022,2022-09-13,1183.24
CUST_00023,2022-04-10,1020.8
CUST_00023,2022-06-05,1041.57
CUST_00023,2022-06-28,1345.02
CUST_00024,2023-05-22,898.53
CUST_00024,2023-07-24,1222.73
CUST_00025,2023-03-03,979.93
CUST_00025,2023-03-21,1054.82
CUST_00025,2023-04-13,978.3
CUST_00025,2023-05-19,902.07
CUST_00026,2022-12-18,1297.39
CUST_00026,2023-01-19,1239.01
CUST_00026,2023-03-01,973.19
CUST_00027,2022-08-08,755.18
CUST_00027,2022-10-16,896.25
CUST_00028,2023-03-26,1128.49
CUST_00028,2023-05-16,997.29
CUST_00028,2023-06-20,810.7
CUST_00029,2022-10-25,1267.53
CUST_00029,2022-11-11,1125.07
CUST_00029,2022-12-29,998.21
CUST_00029,2023-01-07,1133.7
CUST_00030,2022-08-31,2032.36
CUST_00030,2022-09-15,2413.89
CUST_00030,2022-10-10,1462.82
CUST_00030,2022-10-27,1824.31
CUST_00030,2022-11-19,2314.98
CUST_00031,2022-09-03,1088.2
CUST_00031,2022-10-12,1795.88
CUST_00032,2022-05-05,858.69
CUST_00032,2022-06-03,1147.37
CUST_00032,2022-06-24,817.57
CUST_00032,2022-06-25,1067.05
CUST_00033,2022-02-20,1392.64
CUST_00033,2022-04-28,1189.78
CUST_00034,2022-10-30,1230.11
CUST_00034,2022-12-16,887.57
CUST_00034,2023-01-12,980.51
CUST_00035,2023-04-30,1666.83
CUST_00035,2023-05-31,1119.88
CUST_00035,2023-07-06,686.94
CUST_00036,2022-02-04,1177.84
CUST_00036,2022-03-23,928.11
CUST_00037,2023-04-14,1209.21
CUST_00037,2023-05-12,1228.7
CUST_00037,2023-06-08,1300.03
CUST_00037,2023-07-05,1683.39
CUST_00038,2023-03-28,1150.46
CUST_00038,2023-05-06,1311.48
CUST_00039,2022-06-01,1596.32
CUST_00039,2022-07-06,1022.16
CUST_00039,2022-07-24,1939.12
CUST_00039,2022-08-20,1816.59
CUST_00039,2022-08-24,1829.52
CUST_00040,2022-12-11,900.49
CUST_00040,2023-02-05,1091.56
CUST_00041,2022-04-01,1520.04
CUST_00041,2022-05-10,1106.76
CUST_00041,2022-06-28,275.16
CUST_00042,2023-02-18,887.0
CUST_00042,2023-03-29,946.07
CUST_00043,2023-01-18,1902.83
CUST_00043,2023-01-26,1598.4
CUST_00043,2023-02-07,1973.56
CUST_00043,2023-02-21,1821.28
CUST_00043,2023-03-06,1702.96
CUST_00043,2023-03-19,1136.9
